MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.01172	s	10/19/2023 3:07:35 PM
Time	Ch 1 LVDT	Ch 1 Force
s	mm	N
16.24707	1.3449812	959.19232
16.34668	1.3542044	959.48553
16.446289	1.3627625	959.83594
16.545898	1.370784	959.82996
16.645508	1.3780046	960.02368
16.745117	1.3882971	960.4574
16.844727	1.3962972	960.70447
16.944336	1.4052236	960.92792
17.043945	1.412648	961.42072
17.143555	1.4199865	961.10913
17.243164	1.4304864	961.41327
17.342773	1.4362228	961.42273
17.442383	1.4443696	961.76617
17.541992	1.4545333	962.22626
17.641602	1.4628303	962.43201
17.741211	1.4690959	962.52502
17.84082	1.4783549	962.69647
17.94043	1.4865768	963.00684
18.040039	1.4950597	963.38263
18.139648	1.5026736	963.59564
18.239258	1.5129197	963.57825
18.338867	1.5213525	963.83917
18.438477	1.5275574	964.37531
18.538086	1.5360653	964.37451
18.637695	1.5446484	964.44983
18.737305	1.5526593	965.01538
18.836914	1.5610385	965.04706
18.936523	1.5697074	965.42029
19.036133	1.579206	965.53333
19.135742	1.5872741	965.2616
19.235352	1.5953922	965.8139
19.334961	1.6033173	966.16791
19.43457	1.6104734	965.68237
19.53418	1.6177011	966.58826
19.633789	1.6268814	966.41626
19.733398	1.6351855	966.86469
19.833008	1.6430247	967.09808
19.932617	1.6519797	967.15417
20.032227	1.6608703	967.63721
20.131836	1.6683519	968.13788
20.231445	1.6781008	968.50867
20.331055	1.6856825	968.52222
20.430664	1.6952813	968.5874
20.530273	1.7029774	968.6076
20.629883	1.7117035	969.06952
20.729492	1.7180765	968.74133
20.829102	1.728487	969.21948
20.928711	1.7353034	969.25275
21.02832	1.7445338	969.46478
21.12793	1.7532885	969.67401
21.227539	1.7615998	969.85919
21.327148	1.7695177	970.27344
21.426758	1.7794132	970.47626
21.526367	1.7870557	970.47992
21.625977	1.7962754	970.815
21.725586	1.802541	970.81525
21.825195	1.8123221	970.96637
21.924805	1.82024	971.05969
22.024414	1.828351	971.59973
22.124023	1.8368912	971.49762
22.223633	1.846379	971.98175
22.323242	1.8551302	972.51666
22.422852	1.8632019	972.36487
22.522461	1.8707871	972.32843
22.62207	1.8792772	972.32404
22.72168	1.8891084	972.39178
22.821289	1.896143	972.87976
22.920898	1.9041789	973.15747
23.020508	1.9115174	973.06317
23.120117	1.9204974	973.08221
23.219727	1.9286728	973.52551
23.319336	1.9361079	973.71783
23.418945	1.9432533	974.02942
23.518555	1.9531167	973.95532
23.618164	1.961385	973.97614
23.717773	1.9690704	974.06519
23.817383	1.9769454	974.54742
23.916992	1.9854927	974.78076
24.016602	1.9947088	974.78882
24.116211	2.0024836	974.89117
24.21582	2.0122504	975.48956
24.31543	2.0171177	975.26544
24.415039	2.027564	975.49744
24.514648	2.0354748	975.68024
24.614258	2.0445013	975.67657
24.713867	2.0517075	975.73596
24.813477	2.0620036	976.03217
24.913086	2.0698535	976.46094
25.012695	2.0778215	976.53979
25.112305	2.0858645	976.73376
25.211914	2.0938182	977.10211
